name,type,municipality,district,region,postalCode,latitude,longitude,slug
Zvonce,Selo,,Pirot,Central Serbia,,42.9329,22.5797,zvonce
Zvizdar,Selo,,Kolubara,Central Serbia,,44.43902,20.01138,zvizdar
Zvezdan,Selo,,Zajecar,Central Serbia,,43.90091,22.21431,zvezdan
Zvečka,Selo,,Belgrade,Central Serbia,,44.64025,20.16432,zvečka
Žuželjica,Selo,,Pcinja,Central Serbia,,42.44361,21.79066,žuželjica
Žutice,Selo,,Raska,Central Serbia,,43.36135,20.65769,žutice
Županjevac,Selo,,Pomoravlje,Central Serbia,,43.80898,21.02775,županjevac
Županjac,Selo,,Belgrade,Central Serbia,,44.34474,20.214,županjac
Župa,Selo,,Raska,Central Serbia,,42.97985,20.36484,župa
Žunjeviće,Selo,,Raska,Central Serbia,,43.03739,20.49389,žunjeviće
Žunje,Selo,,Rasina,Central Serbia,,43.32079,21.15122,žunje
Žukovac,Selo,,Zajecar,Central Serbia,,43.53329,22.30126,žukovac
Žujince,Selo,,Pcinja,Central Serbia,,42.31568,21.70212,žujince
Žučkovac,Selo,,Zajecar,Central Serbia,,43.68567,21.79803,žučkovac
Zuce,Selo,,Belgrade,Central Serbia,,44.69806,20.55524,zuce
Žuč,Selo,,Toplica,Central Serbia,,43.2007,21.15677,žuč
Zubovac,Selo,,Rasina,Central Serbia,,43.45176,21.55088,zubovac
Zubetinac,Selo,,Zajecar,Central Serbia,,43.67333,22.09389,zubetinac
Zrenjanin,Grad,,Central Banat,Vojvodina,,45.38361,20.38194,zrenjanin
Zorunovac,Selo,,Zajecar,Central Serbia,,43.62143,22.11112,zorunovac
Zorovac,Selo,,Jablanica,Central Serbia,,43.05883,21.71666,zorovac
Zoljevo,Selo,,Jablanica,Central Serbia,,42.90891,21.98612,zoljevo
Zlot,Selo,,Bor,Central Serbia,,44.00853,21.9855,zlot
Zlokuće,Selo,,Bor,Central Serbia,,44.08351,22.57927,zlokuće
Zlokućane,Selo,,Jablanica,Central Serbia,,43.06047,21.98896,zlokućane
Zloćudovo,Selo,,Jablanica,Central Serbia,,42.98521,22.0251,zloćudovo
Žlne,Selo,,Zajecar,Central Serbia,,43.51898,22.25496,žlne
Zli Dol,Selo,,Pcinja,Central Serbia,,42.42911,22.44756,zli-dol
Zlatovo,Selo,,Pomoravlje,Central Serbia,,44.20483,21.43832,zlatovo
Zlatokop,Selo,,Pcinja,Central Serbia,,42.51683,21.9245,zlatokop
Zlatari,Selo,,Rasina,Central Serbia,,43.38694,21.15806,zlatari
Zlatare,Selo,,Raska,Central Serbia,,43.01003,20.61961,zlatare
Zlata,Selo,,Toplica,Central Serbia,,43.07286,21.65396,zlata
Živkovci,Selo,,Kolubara,Central Serbia,,44.28278,20.41157,živkovci
Živica,Selo,,Branicevo,Central Serbia,,44.64104,21.10383,živica-branicevo
Živica,Selo,,Morava,Central Serbia,,43.75439,20.2963,živica-morava
Žitorađe,Selo,,Pcinja,Central Serbia,,42.70487,22.12006,žitorađe
Žitorađa,Grad,,Toplica,Central Serbia,,43.19,21.71306,žitorađa
Žitni Potok,Selo,,Toplica,Central Serbia,,43.09021,21.57476,žitni-potok
Žitniće,Selo,,Zlatibor,Central Serbia,,43.22698,20.16377,žitniće
Žitkovica,Selo,,Branicevo,Central Serbia,,44.5984,21.5752,žitkovica
Žitkovac,Selo,,Nisava,Central Serbia,,43.51144,21.69234,žitkovac
Žitište,Grad,,Central Banat,Vojvodina,,45.485,20.54972,žitište
Žirovnica,Selo,,Sumadija,Central Serbia,,44.11785,21.02611,žirovnica
Žirča,Selo,,Raska,Central Serbia,,43.02772,20.35431,žirča-raska
Žiljci,Selo,,Rasina,Central Serbia,,43.37854,21.0125,žiljci
Žilinci,Selo,,Rasina,Central Serbia,,43.39469,21.12564,žilinci
Židilje,Selo,,Pomoravlje,Central Serbia,,44.05134,21.56477,židilje
Zeoke,Selo,,Belgrade,Central Serbia,,44.41011,20.32488,zeoke-belgrade
Zeoke,Selo,,Morava,Central Serbia,,43.85062,20.26346,zeoke-morava
Zemun,Grad,,Belgrade,Central Serbia,,44.8458,20.40116,zemun
Željuša,Selo,,Pirot,Central Serbia,,43.01624,22.73376,željuša
Željevo,Selo,,Nisava,Central Serbia,,43.41752,22.1493,željevo-nisava
Železnik,Selo,,Belgrade,Central Serbia,,44.72406,20.37513,železnik
Zelenik,Selo,,Branicevo,Central Serbia,,44.57505,21.56444,zelenik
Žegrova,Selo,,Toplica,Central Serbia,,43.12946,21.17156,žegrova
Zebince,Selo,,Pcinja,Central Serbia,,42.76694,22.03052,zebince
Zebica,Selo,,Rasina,Central Serbia,,43.48402,21.51252,zebica-rasina
Zebica,Selo,,Toplica,Central Serbia,,42.97876,21.37153,zebica-toplica
Ždrelo,Selo,,Branicevo,Central Serbia,,44.29537,21.50376,ždrelo
Zdravinje,Selo,,Rasina,Central Serbia,,43.4982,21.44603,zdravinje-rasina
Zdravinje,Selo,,Toplica,Central Serbia,,43.31025,21.39212,zdravinje-toplica
Ždeglovo,Selo,,Jablanica,Central Serbia,,42.9366,21.76778,ždeglovo
Žbevac,Selo,,Pcinja,Central Serbia,,42.44844,21.83555,žbevac
Zavoj,Selo,,Pirot,Central Serbia,,43.26667,22.65,zavoj
Zavidince,Selo,,Pirot,Central Serbia,,43.04443,22.23413,zavidince
Zatonje,Selo,,Branicevo,Central Serbia,,44.76954,21.38494,zatonje
Zaskovci,Selo,,Pirot,Central Serbia,,43.32699,22.61477,zaskovci
Žarkovo,Selo,,Belgrade,Central Serbia,,44.75768,20.41353,žarkovo
Zarevo,Selo,,Raska,Central Serbia,,43.38103,20.5772,zarevo-raska-1
Žarevo,Selo,,Rasina,Central Serbia,,43.28052,21.01955,žarevo
Zarbince,Selo,,Pcinja,Central Serbia,,42.62047,21.79584,zarbince
Zapadni Mojstir,Selo,,Raska,Central Serbia,,42.9094,20.41451,zapadni-mojstir
Zamčanje,Selo,,Raska,Central Serbia,,43.66195,20.5711,zamčanje
Zalužje,Selo,,Jablanica,Central Serbia,,43.05843,21.92385,zalužje
Zalogovac,Selo,,Rasina,Central Serbia,,43.68926,21.25306,zalogovac
Žalica,Selo,,Toplica,Central Serbia,,43.23222,21.02528,žalica
Zaklopača,Selo,,Belgrade,Central Serbia,,44.68009,20.66067,zaklopača-belgrade
Zaklopača,Selo,,Raska,Central Serbia,,43.69691,20.78527,zaklopača-raska
Zaječiće,Selo,,Zlatibor,Central Serbia,,43.22721,20.02645,zaječiće
Zaječar,Grad,,Zajecar,Central Serbia,,43.90358,22.26405,zaječar
Zagužane,Selo,,Jablanica,Central Serbia,,42.91706,21.99073,zagužane-jablanica
Žagubica,Grad,,Branicevo,Central Serbia,,44.19685,21.78838,žagubica
Zagrađe,Selo,,Morava,Central Serbia,,44.169,20.43812,zagrađe-morava
Zagrađe,Selo,,Zajecar,Central Serbia,,43.76299,22.2606,zagrađe-zajecar
Zagrađe,Selo,,Toplica,Central Serbia,,42.94356,21.42739,zagrađe-toplica
Zagorica,Selo,,Sumadija,Central Serbia,,44.30833,20.73639,zagorica
Zagajica,Selo,,South Banat,Vojvodina,,44.98223,21.22876,zagajica
Zabrežje,Selo,,Belgrade,Central Serbia,,44.6825,20.2025,zabrežje-belgrade
Zabrežje,Selo,,Sumadija,Central Serbia,,44.28288,20.59755,zabrežje-sumadija
Žabren,Selo,,Zlatibor,Central Serbia,,43.192,20.26913,žabren
Zabrega,Selo,,Branicevo,Central Serbia,,44.58017,21.40297,zabrega-branicevo
Zabrega,Selo,,Pomoravlje,Central Serbia,,43.93315,21.51958,zabrega-pomoravlje
Zabrđe,Selo,,Branicevo,Central Serbia,,44.38282,21.36855,zabrđe-branicevo
Zabrđe,Selo,,Raska,Central Serbia,,43.13584,20.38922,zabrđe-raska
Žabljane,Selo,,Jablanica,Central Serbia,,42.87802,21.89604,žabljane
Žabari,Grad,,Branicevo,Central Serbia,,44.35611,21.215,žabari-branicevo
Žabare,Selo,,Sumadija,Central Serbia,,44.25545,20.73044,žabare-sumadija-1
Žabare,Selo,,Rasina,Central Serbia,,43.52157,21.23171,žabare-rasina
Žabalj,Grad,,South Backa,Vojvodina,,45.37222,20.06389,žabalj
Vus,Selo,,Jablanica,Central Serbia,,42.91515,22.27283,vus
Vukušica,Selo,,Raska,Central Serbia,,43.65056,20.79016,vukušica
Vuković,Selo,,Branicevo,Central Serbia,,44.56708,21.58019,vuković
Vukovac,Selo,,Branicevo,Central Serbia,,44.25899,21.73827,vukovac
Vukosavci,Selo,,Sumadija,Central Serbia,,44.25306,20.53617,vukosavci
Vukojevac,Selo,,Toplica,Central Serbia,,43.03763,21.1901,vukojevac
Vukmanovo,Selo,,Nisava,Central Serbia,,43.26506,21.96017,vukmanovo
Vukmanovac,Selo,,Pomoravlje,Central Serbia,,43.83484,21.15909,vukmanovac
Vukićevica,Selo,,Belgrade,Central Serbia,,44.56175,20.00337,vukićevica
Vukašinovac,Selo,,Nisava,Central Serbia,,43.60632,21.6009,vukašinovac
Vukanja,Selo,,Nisava,Central Serbia,,43.40335,21.54665,vukanja-nisava-1
Vujetinci,Selo,,Morava,Central Serbia,,43.94306,20.54583,vujetinci
Vujanovo,Selo,,Jablanica,Central Serbia,,43.00803,21.62242,vujanovo
Vučkovica,Selo,,Morava,Central Serbia,,43.68333,20.25,vučkovica-morava-1
Vučje,Selo,,Jablanica,Central Serbia,,42.86528,21.91046,vučje
Vučja Lokva,Selo,,Raska,Central Serbia,,43.10768,20.67954,vučja-lokva
Vučiniće,Selo,,Raska,Central Serbia,,43.15539,20.36755,vučiniće
Vuči Del,Selo,,Pirot,Central Serbia,,42.88417,22.55222,vuči-del
Vučić,Selo,,Sumadija,Central Serbia,,44.20234,20.97295,vučić-sumadija-1
Vučak,Selo,,Podunavlje District,Central Serbia,,44.62323,20.92365,vučak-podunavlje-district
Vučak,Selo,,Rasina,Central Serbia,,43.5628,21.28043,vučak-rasina
Vučadelce,Selo,,Pcinja,Central Serbia,,42.66555,22.2788,vučadelce
Vrtovac,Selo,,Zajecar,Central Serbia,,43.40354,22.45918,vrtovac
Vrtište,Selo,,Nisava,Central Serbia,,43.37263,21.80487,vrtište
Vrtiglav,Selo,,Kolubara,Central Serbia,,44.2743,20.10065,vrtiglav
Vrševac,Selo,,Toplica,Central Serbia,,43.18285,21.31943,vrševac
Vrsjenice,Selo,,Zlatibor,Central Serbia,,43.21654,20.07346,vrsjenice
Vršac,Grad,,South Banat,Vojvodina,,45.11667,21.30361,vršac
Vrnjci,Selo,,Raska,Central Serbia,,43.61378,20.8781,vrnjci
Vrnjačka Banja,Grad,,Raska,Central Serbia,,43.62725,20.89634,vrnjačka-banja
Vrnčani,Selo,,Morava,Central Serbia,,44.09856,20.36663,vrnčani-morava-1
Vrnčani,Selo,,Morava,Central Serbia,,43.92709,20.14242,vrnčani-morava-2
Vrmdža,Selo,,Zajecar,Central Serbia,,43.71372,21.81856,vrmdža
Vrmbaje,Selo,,Morava,Central Serbia,,43.50701,20.35146,vrmbaje-morava-1
Vrlane,Selo,,Pomoravlje,Central Serbia,,44.16972,21.25,vrlane
Vrgudinac,Selo,,Pirot,Central Serbia,,43.23918,22.25097,vrgudinac
Vreoci,Selo,,Belgrade,Central Serbia,,44.44336,20.28201,vreoci
Vrelo,Selo,,Kolubara,Central Serbia,,44.50705,20.02529,vrelo-kolubara
Vrelo,Selo,,Nisava,Central Serbia,,43.49118,21.88673,vrelo-nisava-1
Vrelo,Selo,,Nisava,Central Serbia,,43.37755,22.03418,vrelo-nisava-2
Vrelo,Selo,,Toplica,Central Serbia,,43.07352,21.24671,vrelo-toplica
Vrelo,Selo,,Pirot,Central Serbia,,42.98827,22.34674,vrelo-pirot
Vrdila,Selo,,Raska,Central Serbia,,43.70514,20.55108,vrdila
Vrčin,Selo,,Belgrade,Central Serbia,,44.66845,20.59325,vrčin
Vrćenovica,Selo,,Nisava,Central Serbia,,43.43117,21.67008,vrćenovica
Vrbovo,Selo,,Pcinja,Central Serbia,,42.62701,22.05327,vrbovo-pcinja
Vrbovno,Selo,,Belgrade,Central Serbia,,44.53688,20.2787,vrbovno
Vrbovac,Selo,,Podunavlje District,Central Serbia,,44.57278,20.95278,vrbovac-podunavlje-district
Vrbovac,Selo,,Zajecar,Central Serbia,,43.81269,22.09456,vrbovac-zajecar-1
Vrbovac,Selo,,Zajecar,Central Serbia,,43.68455,21.75044,vrbovac-zajecar-2
Vrbovac,Selo,,Toplica,Central Serbia,,43.3306,21.28955,vrbovac-toplica
Vrbnica,Selo,,Branicevo,Central Serbia,,44.47383,21.294,vrbnica-branicevo
Vrbica,Selo,,North Banat,Vojvodina,,46.00584,20.31325,vrbica-north-banat
Vrbica,Selo,,Sumadija,Central Serbia,,44.29144,20.55755,vrbica-sumadija
Vrbica,Selo,,Zajecar,Central Serbia,,43.71679,22.26366,vrbica-zajecar
Vrban,Selo,,Pcinja,Central Serbia,,42.41241,21.67392,vrban
Gornja Vrba,Selo,,Pomoravlje,Central Serbia,,43.93337,21.12104,gornja-vrba
Vrba,Selo,,Raska,Central Serbia,,43.69042,20.78614,vrba-raska-1
Vražogrnac,Selo,,Zajecar,Central Serbia,,43.96182,22.31989,vražogrnac
Vratna,Selo,,Bor,Central Serbia,,44.37627,22.37342,vratna-bor
Vratarnica,Selo,,Zajecar,Central Serbia,,43.79115,22.31158,vratarnica
Vratare,Selo,,Rasina,Central Serbia,,43.66934,21.30965,vratare
Vrapce,Selo,,Jablanica,Central Serbia,,42.74881,21.54412,vrapce
Vrapča,Selo,,Pirot,Central Serbia,,42.89336,22.69029,vrapča
Vranštica,Selo,,Rasina,Central Serbia,,43.46662,20.89805,vranštica
Vranovo,Selo,,Podunavlje District,Central Serbia,,44.60099,20.9945,vranovo
Vranovac,Selo,,Pomoravlje,Central Serbia,,44.02252,21.15246,vranovac
Vranjska Banja,Grad,,Pcinja,Central Serbia,,42.555,21.99222,vranjska-banja
Vranje,Grad,,Pcinja,Central Serbia,,42.55139,21.90028,vranje
Vranište,Selo,,Pirot,Central Serbia,,43.25695,22.4572,vranište
Vranići,Selo,,Morava,Central Serbia,,43.94091,20.3304,vranići-morava
Vranić,Selo,,Belgrade,Central Serbia,,44.60237,20.32872,vranić-belgrade
Vraneši,Selo,,Raska,Central Serbia,,43.66917,20.80861,vraneši-raska
Vrane,Selo,,Zlatibor,Central Serbia,,43.75937,20.08117,vrane-zlatibor-1
Vrandol,Selo,,Pirot,Central Serbia,,43.27342,22.24844,vrandol
Vraćevšnica,Selo,,Morava,Central Serbia,,44.04169,20.61895,vraćevšnica
Vračević,Selo,,Kolubara,Central Serbia,,44.28806,20.17778,vračević
Vračev Gaj,Selo,,South Banat,Vojvodina,,44.87869,21.36738,vračev-gaj
Vračar,Grad,,Belgrade,Central Serbia,,44.79256,20.47491,vračar
Vošanovac,Selo,,Branicevo,Central Serbia,,44.33473,21.3142,vošanovac
Voluja,Selo,,Branicevo,Central Serbia,,44.50506,21.78091,voluja
Voljčince,Selo,,Toplica,Central Serbia,,43.19537,21.76603,voljčince
Voljevče,Selo,,Pomoravlje,Central Serbia,,43.9892,21.22601,voljevče
Vojvodinci,Selo,,South Banat,Vojvodina,,45.01557,21.34793,vojvodinci
Vojvoda Stepa,Selo,,Central Banat,Vojvodina,,45.68537,20.65536,vojvoda-stepa
Vojska,Selo,,Pomoravlje,Central Serbia,,44.09086,21.21605,vojska
Vojnici,Selo,,Pirot,Central Serbia,,43.11366,22.44245,vojnici
Vojniće,Selo,,Raska,Central Serbia,,43.15895,20.47897,vojniće
Vojnegovac,Selo,,Pirot,Central Serbia,,43.07519,22.63506,vojnegovac
Vojmilovići,Selo,,Raska,Central Serbia,,43.41264,20.75623,vojmilovići
Vojlovica,Selo,,South Banat,Vojvodina,,44.84726,20.67042,vojlovica
Vojkoviće,Selo,,Raska,Central Serbia,,43.03548,20.56681,vojkoviće
Vojkovci,Selo,,Sumadija,Central Serbia,,44.18643,20.50723,vojkovci
Vojka,Selo,,Srem,Vojvodina,,44.93713,20.15236,vojka
Vojilovo,Selo,,Branicevo,Central Serbia,,44.63289,21.59484,vojilovo
Vogance,Selo,,Pcinja,Central Serbia,,42.34495,21.92028,vogance
Vodice,Selo,,Podunavlje District,Central Serbia,,44.33646,20.95118,vodice-podunavlje-district
Vodice,Selo,,Toplica,Central Serbia,,43.20968,21.56546,vodice-toplica-1
Vodanj,Selo,,Podunavlje District,Central Serbia,,44.60963,20.85263,vodanj
Vlkovija,Selo,,Pirot,Central Serbia,,43.09046,22.91661,vlkovija
Vlasteljice,Selo,,Morava,Central Serbia,,43.71689,20.40004,vlasteljice-morava-1
Vlasovo,Selo,,Toplica,Central Serbia,,43.02805,21.46533,vlasovo
Vlasotince,Grad,,Jablanica,Central Serbia,,42.96697,22.13402,vlasotince
Vlaško Polje,Selo,,Zajecar,Central Serbia,,43.69968,22.07275,vlaško-polje-zajecar
Vlaški Do,Selo,,Branicevo,Central Serbia,,44.48455,21.21167,vlaški-do-branicevo
Vlaški Do,Selo,,Podunavlje District,Central Serbia,,44.46863,20.93174,vlaški-do-podunavlje-district
Vlaška,Selo,,Belgrade,Central Serbia,,44.50032,20.6873,vlaška-belgrade
